,Actual Value,Predicted Value
793,21195.818,24232.936847161756
1212,1702.4553,2727.102342299233
58,23244.7902,23995.528676598948
430,23082.95533,2524.7647492941173
930,2927.0647,5402.796394540828
1192,13019.16105,12946.559431136287
23,37701.8768,40247.58276634528
365,9778.3472,11065.150132024686
210,1980.07,4224.578480088096
115,30259.99556,13853.987763957513
1171,22478.6,24633.144375714826
43,6313.759,6842.992258628905
881,2789.0574,6194.23230091834
597,5594.8455,6672.274074537436
774,7261.741,7370.492658192101
405,11396.9002,12340.018293492063
247,1986.9334,4706.629089505307
832,4719.73655,6208.18546002756
309,7749.1564,7246.6135361885945
415,7345.7266,9181.753455336113
1052,9288.0267,10869.69788710802
654,12244.531,14029.698885604326
358,1837.2819,5777.281533577867
551,3972.9247,5067.382102913608
778,5934.3798,7016.616788154729
1127,5836.5204,6852.141440474067
81,7935.29115,10181.720631070873
196,5649.715,6439.598959321892
1209,12347.172,17237.368807302413
353,12404.8791,6096.686192791039
461,22144.032,36953.43834975339
629,42983.4585,44415.235860270855
850,37270.1512,40652.14635895468
999,5267.81815,5838.894454993261
522,9866.30485,11256.141775225313
974,2322.6218,4560.410475894344
599,33471.97189,12581.637309724894
192,2137.6536,4678.549485471258
617,23306.547,24413.690853114655
1298,5261.46945,6500.500480857887
570,3761.292,5075.55456974307
1256,11436.73815,11509.917544936672
361,4751.07,6278.909718162145
1122,46661.4424,47645.10152134725
875,2690.1138,5093.465976028011
781,1146.7966,3562.9338460751624
1249,37607.5277,44793.43864045082
566,6373.55735,6954.151310920134
988,4518.82625,5969.9278402251475
894,13555.0049,14078.044880336718
610,8547.6913,10624.665383885871
618,34439.8559,35679.047343517435
422,39125.33225,40873.7132561087
56,13607.36875,13352.009218110861
1299,2710.82855,3726.085335579853
398,14988.432,17057.393159922187
1114,2396.0959,5647.920289804855
1092,3591.48,6446.512202280477
1227,7162.0122,7125.444676733195
175,48824.45,47037.54189740368
86,43578.9394,45983.53362906291
123,39556.4945,42159.91077310112
1182,2632.992,4744.21324439066
622,9182.17,10913.789220359145
931,6238.298,6783.770768153339
1067,5757.41345,7791.0815082411955
1324,4239.89265,5803.856154947779
1175,2154.361,2513.0609662743605
297,21978.6769,24046.67183294462
296,16297.846,17734.782043530387
534,13831.1152,14417.333542194801
128,32734.1863,17309.573227216413
350,11830.6072,12549.34556271669
244,29523.1656,27208.43034853562
428,3167.45585,4447.695895468932
591,8428.0693,10025.948548041784
220,5012.471,6377.814815095531
788,5209.57885,7138.738417179631
174,2855.43755,4772.292848424709
291,20277.80751,6231.431037427116
352,3554.203,5075.55456974307
1024,8569.8618,10242.516201405135
1055,10594.50155,12624.754613412495
817,3597.596,6312.545335806749
427,7323.734819,3026.4727259378496
792,2731.9122,2794.688092729021
29,38711.0,47219.267522078495
1322,12981.3457,14304.039728931426
605,9283.562,10856.260847165508
636,2709.1119,3726.085335579853
1073,12096.6512,13043.388545629792
31,2198.18985,2727.102342299233
351,8932.084,11345.054361071278
1137,3176.2877,4858.9354330493925
331,24393.6224,25747.589632368614
796,4266.1658,6471.6651851234965
1039,22493.65964,7373.630100944045
261,17085.2676,18627.779541968932
70,16577.7795,19077.60581134685
744,8827.2099,11006.634162362512
1242,4296.2712,7423.073367647197
976,7804.1605,10412.365656161246
1302,3208.787,5601.2818858847395
552,12957.118,14713.563533940784
661,22192.43711,12939.620501990978
286,9432.9253,10461.284157801516
1274,17043.3414,19136.785016435737
1221,6593.5083,6969.4787361200615
1032,4137.5227,5254.458454974082
585,4779.6023,6065.417896976059
231,14001.2867,16471.694631522343
48,12629.8967,14653.581337489395
919,5245.2269,6545.062665367903
113,2404.7338,2933.8964890507577
155,6948.7008,9529.602805920278
660,6435.6237,7541.916927674716
665,42560.4304,43871.87324537943
1202,2055.3249,2921.1068864999647
1078,34672.1472,38126.788463372926
1316,1731.677,2225.322950704298
581,1639.5631,2617.452331636373
1327,9377.9047,10514.507224385627
344,10977.2063,10909.085091784389
478,1534.3045,3007.5672355225897
198,9644.2525,11023.034799677078
1167,4529.477,5802.83667021897
1303,37829.7242,25072.00394788216
1133,9991.03765,11586.667483080626
903,8125.7845,10472.843948349906
107,3877.30425,6209.332043533967
1149,5979.731,6920.080886293784
1323,43896.3763,43037.00766605528
1097,1674.6323,2993.363423853772
1074,13204.28565,14576.177032859658
739,44585.45587,39315.37617773197
1271,3021.80915,4744.21324439066
218,3392.9768,5408.203476551795
464,1632.03625,2241.089958695171
1235,2699.56835,4596.634384734374
306,20177.67113,5561.7457224743775
1083,4076.497,5561.335782360972
438,12592.5345,13213.778845322879
410,1621.3402,2370.8198354340384
855,1875.344,2621.675324850703
243,7196.867,7182.998784340387
1043,3161.454,4825.250613147379
371,12029.2867,12713.324717236706
168,2719.27975,4069.275609864922
858,18218.16139,5526.342486128709
715,12146.971,13851.400067703065
1270,3292.52985,5719.975279133724
900,8688.85885,10703.359710075674
708,6113.23105,6926.1344463872265
54,8059.6791,7083.089820176115
370,13415.0381,14699.253754504905
741,18246.4955,20344.80879319184
109,47055.5321,46603.83880175005
575,12222.8983,12743.671196934827
535,6067.12675,6859.322615770394
543,63770.42801,46274.99885226929
846,9872.701,10776.375047067066
